2025-09-27 13:13:20,142 | INFO | Fetched https://jeevee.com/ (status 200)
2025-09-27 13:13:20,395 | INFO | Crawling (depth 1, from https://www.tranquilityspa.com.np/): https://tranquilityspa.com.np/pages/about
2025-09-27 13:13:20,563 | INFO | Fetched https://tranquilityspa.com.np/pages/about (status 200)
2025-09-27 13:13:21,155 | INFO | Crawling (depth 1, from https://prettyclickcosmetics.com/): https://prettyclickcosmetics.com/products/milani-make-it-last-setting-spray
2025-09-27 13:13:21,385 | INFO | Fetched https://prettyclickcosmetics.com/products/milani-make-it-last-setting-spray (status 200)
2025-09-27 13:13:22,214 | INFO | Crawling (depth 1, from https://jeevee.com/): https://jeevee.com/prescriptions
2025-09-27 13:13:22,565 | INFO | Fetched https://jeevee.com/prescriptions (status 200)
2025-09-27 13:13:23,126 | WARNING | CAPTCHA logged to failed_urls.txt for http://kiec.edu.np/
2025-09-27 13:13:27,790 | INFO | Crawling (depth 1, from https://jeevee.com/): https://jeevee.com/about
2025-09-27 13:13:28,157 | INFO | Fetched https://jeevee.com/about (status 200)
2025-09-27 13:13:28,497 | INFO | Crawling (depth 1, from https://prettyclickcosmetics.com/): https://prettyclickcosmetics.com/collections/types?q=setting%20spray
2025-09-27 13:13:28,750 | INFO | Fetched https://prettyclickcosmetics.com/collections/types?q=setting%20spray (status 200)
2025-09-27 13:13:29,890 | INFO | Crawling (depth 1, from https://www.tranquilityspa.com.np/): https://tranquilityspa.com.np/teams
2025-09-27 13:13:30,073 | INFO | Fetched https://tranquilityspa.com.np/teams (status 200)
2025-09-27 13:13:32,934 | INFO | Crawling (depth 1, from https://jeevee.com/): https://jeevee.com/vendor-enrollment
2025-09-27 13:13:33,266 | INFO | Fetched https://jeevee.com/vendor-enrollment (status 200)
2025-09-27 13:13:36,263 | INFO | Crawling (depth 1, from https://www.tranquilityspa.com.np/): https://tranquilityspa.com.np/outlets/the-soaltee-kathmandu/services?service=4
2025-09-27 13:13:36,440 | INFO | Fetched https://tranquilityspa.com.np/outlets/the-soaltee-kathmandu/services?service=4 (status 200)
2025-09-27 13:13:36,676 | INFO | Crawling (depth 1, from https://jeevee.com/): https://jeevee.com/terms
2025-09-27 13:13:36,965 | INFO | Fetched https://jeevee.com/terms (status 200)
2025-09-27 13:13:38,149 | INFO | Crawling (depth 1, from https://prettyclickcosmetics.com/): https://prettyclickcosmetics.com/products/milani-conceal-perfect-2-in-one-foundation-concealer
2025-09-27 13:13:38,376 | INFO | Fetched https://prettyclickcosmetics.com/products/milani-conceal-perfect-2-in-one-foundation-concealer (status 200)
2025-09-27 13:13:39,342 | INFO | Crawling (depth 1, from https://jeevee.com/): https://jeevee.com/policies
2025-09-27 13:13:39,686 | INFO | Fetched https://jeevee.com/policies (status 200)
2025-09-27 13:13:44,932 | INFO | Total Pages Crawled: 14
2025-09-27 13:13:44,933 | INFO | Total URLs Visited: 15
2025-09-27 13:13:44,935 | INFO | Total Failed URLs: 6
